steamid,steamid64,name,nationality
0:1:1444805,76561197963155339,StingRay,fr
0:1:1553025,76561197963371779,Peewee,fr
0:1:165456,76561197960596641,bullrot,fr
0:1:2175248,76561197964616225,b$t,fr
0:1:3668550,76561197967602829,Skeletor,fr
0:1:4535352,76561197969336433,Barton,fr
0:1:4487041,76561197969239811,Cel,fr
0:0:30541,76561197960326810,Y@Bu,fr
0:0:13519260,76561197987304248,AmZi,fr
0:0:98913307,76561198158092342,mxpph,fr
0:0:11385810,76561197983037348,8ball,fr
0:1:850495,76561197961966719,DaRq,de
0:1:9150373,76561197978566475,Alles_Ratten,de
0:0:1692689,76561197963651106,Sn!per??,de
0:1:41525965,76561198043317659,Re!s,de
0:1:3529340,76561197967324409,onyxxx,de
0:0:27969051,76561198016203830,navex,de
0:0:6676,76561197960279080,b1s0n,de
0:1:459415,76561197961184559,Fresh,de
0:0:658667,76561197961583062,UnReal,de
0:1:1664955,76561197963595639,Shock,de
0:1:15892129,76561197992049987,SpY,de
0:1:2019431,76561197964304591,para,de
0:1:2660167,76561197965586063,Fury,de
0:1:7501338,76561197975268405,Kyo,de
0:0:9875738,76561197980017204,N!ghtW0lf,de
0:1:6614895,76561197973495519,rAyv3x,de
0:0:41681,76561197960349090,syn,de
0:0:4846,76561197960275420,Varix,de
0:0:213767,76561197960693262,MaGic,de
0:1:11884548,76561197984034825,MoV,de
0:1:15301342,76561197990868413,pray,de
0:0:474149,76561197961214026,p4tr1ck,de
0:1:26410322,76561198013086373,shYm0n,de
0:1:1058815,76561197962383359,sEph,de
0:0:30477665,76561198021221058,langir,de
0:1:15379976,76561197991025681,sTb,de
0:1:836435,76561197961938599,mark,de
0:0:4216747,76561197968699222,neO,de
0:0:20135739,76561198000537206,jojo,de
0:1:56367168,76561198073000065,Corrosion,de
0:1:11846825,76561197983959379,peay,de
0:1:10086979,76561197980439687,Der Knecht,de
0:1:3193448,76561197966652625,GuiLe,de
0:0:48338209,76561198056942146,raycc,de
0:1:39352022,76561198038969773,ur4n!um,de
0:0:32339,76561197960330406,ultr4,de
0:1:133238,76561197960532205,Soebbel,de
0:0:34542,76561197960334812,Cruz,de
